subject,hemisphere,dataType,label,dice
012,left,NoDenoising,3,0.721705
012,left,NoDenoising,4,0.343434
012,left,NoDenoising,8,0.558103
012,left,NoDenoising,9,0.518987
012,left,NoDenoising,11,0.44784
012,left,NoDenoising,12,0.545178
013,left,NoDenoising,all,0.710314
013,left,NoDenoising,1,0.730964
013,left,NoDenoising,2,0.175439
013,left,NoDenoising,3,0.771974
013,left,NoDenoising,4,0.364611
013,left,NoDenoising,8,0.673976
013,left,NoDenoising,9,0.716102
013,left,NoDenoising,11,0.607213
013,left,NoDenoising,12,0.709021
014,left,NoDenoising,all,0.656421
014,left,NoDenoising,1,0.6591
014,left,NoDenoising,2,0.338462
014,left,NoDenoising,3,0.71525
014,left,NoDenoising,4,0.5
014,left,NoDenoising,8,0.549833
014,left,NoDenoising,9,0.652918
014,left,NoDenoising,11,0.544628
014,left,NoDenoising,12,0.689744
015,left,NoDenoising,all,0.627276
015,left,NoDenoising,1,0.668343
015,left,NoDenoising,2,0.102564
015,left,NoDenoising,3,0.702482
015,left,NoDenoising,4,0.259542
015,left,NoDenoising,8,0.399481
015,left,NoDenoising,9,0.556122
015,left,NoDenoising,11,0.278481
015,left,NoDenoising,12,0.715133
016,left,NoDenoising,all,0.701688
016,left,NoDenoising,1,0.727847
016,left,NoDenoising,2,0.169492
016,left,NoDenoising,3,0.780488
016,left,NoDenoising,4,0.561056
016,left,NoDenoising,8,0.591781
016,left,NoDenoising,9,0.736562
016,left,NoDenoising,11,0.787917
016,left,NoDenoising,12,0.638313
017,left,NoDenoising,all,0.610578
017,left,NoDenoising,1,0.637237
017,left,NoDenoising,2,0
017,left,NoDenoising,3,0.646942
017,left,NoDenoising,4,0.2
017,left,NoDenoising,8,0.550519
017,left,NoDenoising,9,0.622412
017,left,NoDenoising,11,0.433747
017,left,NoDenoising,12,0.642523
018,left,NoDenoising,all,0.655227
018,left,NoDenoising,1,0.701994
018,left,NoDenoising,2,0.0625
018,left,NoDenoising,3,0.729431
018,left,NoDenoising,4,0.351464
018,left,NoDenoising,8,0.681876
018,left,NoDenoising,9,0.701738
018,left,NoDenoising,11,0.656748
018,left,NoDenoising,12,0.580298
019,left,NoDenoising,all,0.533482
019,left,NoDenoising,1,0.703548
019,left,NoDenoising,2,0
019,left,NoDenoising,3,0.735344
019,left,NoDenoising,4,0.216561
019,left,NoDenoising,8,0.381418
019,left,NoDenoising,9,0.606122
019,left,NoDenoising,11,0.298326
019,left,NoDenoising,12,0.420623
020,left,NoDenoising,all,0.680039
020,left,NoDenoising,1,0.752905
020,left,NoDenoising,2,0.212121
020,left,NoDenoising,3,0.796349
020,left,NoDenoising,4,0.420091
020,left,NoDenoising,8,0.576182
020,left,NoDenoising,9,0.602224
020,left,NoDenoising,11,0.608847
020,left,NoDenoising,12,0.630043
021,left,NoDenoising,all,0.615681
021,left,NoDenoising,1,0.660633
021,left,NoDenoising,2,0
021,left,NoDenoising,3,0.66248
021,left,NoDenoising,4,0.414141
021,left,NoDenoising,8,0.575264
021,left,NoDenoising,9,0.494728
021,left,NoDenoising,11,0.340967
021,left,NoDenoising,12,0.665865
022,left,NoDenoising,all,0.613201
022,left,NoDenoising,1,0.616931
022,left,NoDenoising,2,0
022,left,NoDenoising,3,0.697007
022,left,NoDenoising,4,0.4
022,left,NoDenoising,8,0.622892
022,left,NoDenoising,9,0.547998
022,left,NoDenoising,11,0.44901
022,left,NoDenoising,12,0.632614
023,left,NoDenoising,all,0.605997
023,left,NoDenoising,1,0.720506
023,left,NoDenoising,2,0.368421
023,left,NoDenoising,3,0.752627
023,left,NoDenoising,4,0.54375
023,left,NoDenoising,8,0.693456
023,left,NoDenoising,9,0.589689
023,left,NoDenoising,11,0.412434
023,left,NoDenoising,12,0.50923
024,left,NoDenoising,all,0.607325
024,left,NoDenoising,1,0.633669
024,left,NoDenoising,2,0
024,left,NoDenoising,3,0.738866
024,left,NoDenoising,4,0.288372
024,left,NoDenoising,8,0.5327
024,left,NoDenoising,9,0.676151
024,left,NoDenoising,11,0.500562
024,left,NoDenoising,12,0.53675
025,left,NoDenoising,all,0.677277
025,left,NoDenoising,1,0.690839
025,left,NoDenoising,2,0.12766
025,left,NoDenoising,3,0.756219
025,left,NoDenoising,4,0.475524
025,left,NoDenoising,8,0.656763
025,left,NoDenoising,9,0.702535
025,left,NoDenoising,11,0.643828
025,left,NoDenoising,12,0.642258
026,left,NoDenoising,all,0.476239
026,left,NoDenoising,1,0.544083
026,left,NoDenoising,2,0
026,left,NoDenoising,3,0.519157
026,left,NoDenoising,4,0.296296
026,left,NoDenoising,8,0.300861
026,left,NoDenoising,9,0.278054
026,left,NoDenoising,11,0.38029
026,left,NoDenoising,12,0.524798
027,left,NoDenoising,all,0.590795
027,left,NoDenoising,1,0.560478
027,left,NoDenoising,2,0
027,left,NoDenoising,3,0.645679
027,left,NoDenoising,4,0.357488
027,left,NoDenoising,8,0.335849
027,left,NoDenoising,9,0.496364
027,left,NoDenoising,11,0.677337
027,left,NoDenoising,12,0.6548
028,left,NoDenoising,all,0.49671
028,left,NoDenoising,1,0.529801
028,left,NoDenoising,2,0
028,left,NoDenoising,3,0.576774
028,left,NoDenoising,4,0.179104
028,left,NoDenoising,8,0.277654
028,left,NoDenoising,9,0.508663
028,left,NoDenoising,11,0.387524
028,left,NoDenoising,12,0.516382
